,Unnamed: 0,label,p_title,sent_length,word_length,Stops_ratio,Num_Punctuation,category_Berita,category_Ekonomi&Bisnis,category_Lain,category_Lifestyle,category_Olahraga,category_Otomotif,category_Religi,category_Selebriti&Entertainment,category_Teknologi,source_Kompas.com,source_detik.com,source_fimela.com,source_kapanlagi.com,source_liputan6.com,source_okezone.com,source_posmetro-medan.com,source_republika.co.id,source_sindonews.com,source_tempo.co,source_tribunnews.com,source_wowkeren.com
30,30,non-clickbait,mayat pria ditemukan kalimalang bekasi diduga korban tenggelam,8,6.333333333,0.111111111,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,31,non-clickbait,pesan anak habibie penjenguk mohon dimengerti istirahat,7,6.1,0.3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,32,non-clickbait,kpk curhat pencegahan korupsi dianggap uang negara diselamatkan,8,6.5,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,33,non-clickbait,act inisiasi gerakan nasional indonesiadermawan,5,8.6,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,34,non-clickbait,demokrat dukung langkah jokowi bangun istana papua,7,5.75,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,35,non-clickbait,menkum ham kaji draf revisi uu kpk,7,4.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,36,non-clickbait,mpr gelar diskusi evaluasi pelaksanaan uud yogyakarta,7,6.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,37,non-clickbait,detik detik kendaraan alami kecelakaan beruntun cipularang,7,6.444444444,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,38,clickbait,kocak maling rumah mewah jakut terekam cctv bingung cari jalan kabur,11,5.0,0.083333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,39,non-clickbait,selidiki ular dibuang asrama papua polisi terganjal akses masuk,9,5.6363636360000005,0.181818182,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,40,non-clickbait,kpk tanggapi dpr penegakan hukum terikat komitmen politik,8,5.8,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,41,non-clickbait,kronologi barista tikam siswi smk bandung cinta ditolak,8,6.0,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,42,non-clickbait,pengacara dakwaan kivlan zen dipaksakan,5,6.666666667,0.166666667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,43,non-clickbait,polisi belanda tembak mati istri putrinya bunuh,7,5.2,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,44,non-clickbait,perampok bersebo tembak warga tewas sumsel,6,5.625,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,45,non-clickbait,tepis penyebab tunggal kabut asap ri surati malaysia,8,5.3,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,46,non-clickbait,jokowi mekarkan wilayah papua jk undang undangnya,7,5.888888889,0.222222222,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,47,non-clickbait,respons jk kpk sp disalahgunakan,5,5.285714286,0.28571428600000004,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,48,clickbait,seluas jabar tantangan sintang siapkan generasi emas,7,6.1111111110000005,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,49,clickbait,viral video diduga baku tembak sleman polisi,7,4.7,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,50,non-clickbait,kadis pu pns kabupaten mandailing natal ditahan kejati sumut,9,5.5,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,51,non-clickbait,banding ditolak hak politik eks bupati katingan dicabut hakim,9,5.888888889,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,52,non-clickbait,gadai sk wajar dprd surabaya bank melirik,7,4.583333333,0.4166666670000001,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,53,non-clickbait,karyawan pabrik boneka keracunan polisi sita sayur nangka,8,6.25,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,54,non-clickbait,kecelakaan beruntun kendaraan lenteng agung pemotor luka luka,8,6.222222222,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,55,non-clickbait,kpk bongkar mafia migas transaksi lintas negara mudah diungkap,9,5.7,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,56,non-clickbait,diawasi hong kong aktivis joshua terbang berlin,7,4.9,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,57,non-clickbait,anggota dprd surabaya gadaikan sk jaminan potong gaji,8,5.8,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,58,non-clickbait,ical jenguk bj habibie rspad doakan terbaik,7,4.7,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,59,non-clickbait,orang korporasi tersangka karhutla sumatera kalimantan,6,6.444444444,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,60,non-clickbait,gubernur edy uang miliaran milik pemprov hilang,7,5.555555556,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,61,clickbait,giliran alumni unnes serukan tolak revisi uu kpk,8,5.125,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,62,non-clickbait,fenomena gadai sk anggota dewan dprd serang,7,5.0,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,63,non-clickbait,akademisi mahasiswa unair tolak revisi uu kpk,7,5.25,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,64,non-clickbait,pegawai kpk surati fraksi dpr pilih capim lemahkan kpk,9,4.615384615,0.307692308,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,65,clickbait,waspada penipuan catut pertamina korbannya rugi puluhan juta,8,6.222222222,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,66,non-clickbait,ekoturisme pelajaran negara,3,6.5,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,67,non-clickbait,refleksi dpd ri oso daerah,5,4.333333333,0.444444444,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,68,non-clickbait,mui riau pelaku karhutla orang taat beragama,7,5.125,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,69,non-clickbait,gadaikan sk anggota dprd jabar terima kredit rp miliar,9,5.2,0.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,70,non-clickbait,penyelundupan benih lobster tujuan singapura digagalkan makassar,7,7.5,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,71,non-clickbait,kecelakaan beruntun truk terbakar cipularang orang luka,7,6.0,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,72,non-clickbait,berita negatif hnw khawatirkan moral bangsa indonesia,7,6.625,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,73,non-clickbait,kpk harap jeratan eks dirut petral buka kotak pandora mafia migas,11,4.916666667,0.083333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,74,non-clickbait,hamas tembak jatuh drone israel jalur gaza,7,4.75,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,75,non-clickbait,jpu keberatan kivlan zen didampingi kuasa hukum militer,8,5.777777778,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,76,non-clickbait,tersangka eks dirut petral diduga terima suap usd juta,9,5.0,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,77,non-clickbait,jaksa duit rp juta kivlan zen modal mata matai wiranto luhut,11,4.384615385,0.153846154,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,78,clickbait,jaksa beberkan senpi peluru tajam pembelian kivlan zen cs rinciannya,10,5.6363636360000005,0.090909091,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,79,non-clickbait,dishub polda data kebutuhan e tle area perluasan ganjil genap,10,4.916666667,0.166666667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,80,non-clickbait,polisi olah tkp kecelakaan maut tewaskan orang nganjuk,8,5.444444444,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,81,non-clickbait,uang miliaran rupiah milik pemprov sumut hilang polisi turun tangan,10,5.8,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,82,non-clickbait,menkum ham cabut paspor veronica koman ketentuannya,7,5.777777778,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,83,clickbait,quality time keluarga manfaatnya,4,6.625,0.5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,84,clickbait,menteri jokowi profesional kandidatnya,4,7.6,0.2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,85,non-clickbait,lipi desak jokowi tolak revisi uu kpk lumpuhkan kinerja kpk,10,4.909090909,0.090909091,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,86,non-clickbait,penyerangan ditutup pemotor trotoar ditilang,5,6.75,0.375,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,87,non-clickbait,bareskrim tangkap pembobol rugikan bank bumn rp miliar,8,5.666666667,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,88,non-clickbait,pembekalan caleg terpilih demokrat sby arahan tertutup,7,6.0,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,89,non-clickbait,aktivis perempuan nilai ruu pks tersandera ruu kuhp,8,5.333333333,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,90,non-clickbait,teridentifikasi korban kecelakaan cipularang diduga perempuan,6,8.714285713999999,0.14285714300000002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,91,non-clickbait,siswi smk bandung ditikam sekolah tolak cinta pelaku,8,5.6,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,92,clickbait,pemilihan capim kpk cacat yuridis saran samad dpr,8,4.727272727,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,93,non-clickbait,kunjung penuhi panggilan veronica koman dpo,6,5.4,0.4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,94,clickbait,pria misterius berjubah putih viral sumut ingatkan tuhan murka,9,5.6,0.1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,95,non-clickbait,adik hoax habibie meninggal mbok gitu isengnya,7,5.555555556,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,96,non-clickbait,jk bicara kpk sp contohkan rj lino,7,4.6,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,97,non-clickbait,tidur siang kali seminggu kurangi serangan jantung,7,6.875,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,98,non-clickbait,polisi simpulkan bos sembako cilegon tewas bunuh,7,5.333333333,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,99,non-clickbait,menengok pantai mustika banyuwangi,4,7.75,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,100,non-clickbait,asap pekat selimuti riau pemprov gelar salat hujan besok,9,5.3,0.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,101,non-clickbait,kontrak politik capim kpk fahri taat undang undang,8,5.090909091,0.272727273,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,102,non-clickbait,caketum hipmi pengusaha ri jiwa nasionalisme kuat,7,5.7,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,103,non-clickbait,kpu solo ajukan dana rp m pilwalkot,7,4.25,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,104,non-clickbait,utusan khusus presiden gelar munas tokoh antaragama,7,6.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,105,non-clickbait,panggil veronica koman polisi tunggu pekan,6,5.3,0.4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,106,non-clickbait,kpk tetapkan eks pejabat pertamina energy tersangka mafia migas,9,6.1111111110000005,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,107,non-clickbait,dipeluk istri jalani sidang kivlan zen menangis,7,6.0,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,108,clickbait,video porno sumedang disebar pemeran pria motifnya,7,5.444444444,0.222222222,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,109,non-clickbait,icw pertaruhkan kpk jokowi,4,5.333333333,0.333333333,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,110,clickbait,terungkap video porno sumedang diperankan pasangan selingkuh,7,7.0,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,111,non-clickbait,bocah bekasi tewas bully kpad imbau keluarga melapor,8,5.454545455,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,112,non-clickbait,jk revisi uu kpk penuntutan koordinasi jaksa agung,8,5.083333333,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,113,non-clickbait,komisi iii dpr pastikan tampung masukan capim kpk,8,5.1,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,114,non-clickbait,tokoh papua diundang jokowi eks timses istana,7,5.6,0.3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,115,non-clickbait,wagub jabar pekerja lingkungan pemprov jabar daftar bpjs tk,9,5.272727273,0.181818182,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,116,non-clickbait,anak cucu berkumpul temani bj habibie rspad gatot soebroto,9,5.0,0.181818182,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,117,non-clickbait,gara gara puntung rokok hektare lahan sulteng terbakar,8,5.444444444,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,118,non-clickbait,topan faxai hantam jepang penumpang telantar bandara narita,8,6.0,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,119,non-clickbait,gajah mengamuk festival agama sri lanka terluka,7,5.3,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,120,non-clickbait,waduk pacal bojonegoro surut lahan pertanian kecamatan kekeringan,8,6.2,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,121,non-clickbait,komisi iii dpr gelar rdpu tampung masukan seleksi capim kpk,10,4.909090909,0.090909091,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,122,clickbait,detik detik mencekam perampokan rumah makan gratis duafa bogor,9,5.25,0.25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,123,non-clickbait,hut brigif raider ziarah makam bupati galuh ciamis,8,4.7,0.2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,124,non-clickbait,pesan kpk jokowi pembangunan tercapai digerogoti korupsi,7,5.818181817999999,0.363636364,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,125,non-clickbait,perguruan muhammadiyah indonesia tolak revisi uu kpk,7,6.0,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,126,non-clickbait,pelanggar ditilang perdana perluasan ganjil genap kemarin,7,6.333333333,0.222222222,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,127,non-clickbait,dirawat intensif rspad bj habibie salat berbaring,7,5.666666667,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,128,non-clickbait,polrestabes surabaya parkir bertingkat,4,6.875,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,129,non-clickbait,sepekan dilantik anggota dprd jabar gadai sk bank,8,4.888888889,0.111111111,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,130,non-clickbait,poyuono pemerintah dpr revisi uu kpk mudah rampok uang negara,10,5.083333333,0.166666667,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,131,non-clickbait,ratusan mahasiswa surabaya dukung revisi uu kpk,7,5.857142857,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,132,non-clickbait,abraham samad jokowi dpr setop pembahasan revisi uu kpk,9,5.181818182,0.181818182,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,133,non-clickbait,satgas karhutla investigasi penyebab kebakaran kebun tebu ptpn vii ogan ilir,11,6.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,134,non-clickbait,fenomena anggota dewan gadaikan sk dprd surabaya,7,5.1,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,135,non-clickbait,anies anggap perbaikan udara jakarta ganjil genap instan,8,5.545454545,0.272727273,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,136,non-clickbait,tepis kabar bully polisi bocah meninggal bekasi akibat tetanus,9,5.545454545,0.181818182,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,137,non-clickbait,tokoh papua bicara jokowi persaingan penduduk lingkungan,7,5.9,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,138,non-clickbait,kritik revisi uu kpk rektor ipb pemuka agama tolak pelemahan kpk,11,4.909090909,0.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,139,non-clickbait,menggalang pembiayaan kota,3,6.2,0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,140,non-clickbait,pasukan kostrad dikerahkan tangkap pelaku karhutla riau,7,6.222222222,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,141,non-clickbait,cerita warga jepara mandi sehari akibat kekeringan,7,5.777777778,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,142,clickbait,kendaraan listrik bebas aturan ganjil genap alasannya,7,6.0,0.222222222,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,143,non-clickbait,satunya korban selamat kecelakaan maut nganjuk diciduk narkoba,8,6.0,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,144,non-clickbait,jokowi terbang aceh wamena jauhnya london istanbul,7,5.363636364,0.363636364,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,145,non-clickbait,home industry arak sidoarjo digerebek orang diamankan,7,5.777777778,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,146,non-clickbait,jokowi papua telat oktober resmikan jembatan holtekamp,7,6.0,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
