,label,p_title,sent_length,word_length,Stops_ratio,Num_Punctuation,category_Berita,category_Ekonomi&Bisnis,category_Lain,category_Lifestyle,category_Olahraga,category_Otomotif,category_Religi,category_Selebriti&Entertainment,category_Teknologi,source_Kompas.com,source_detik.com,source_fimela.com,source_kapanlagi.com,source_liputan6.com,source_okezone.com,source_posmetro-medan.com,source_republika.co.id,source_sindonews.com,source_tempo.co,source_tribunnews.com,source_wowkeren.com
38,clickbait,kocak maling di rumah mewah jakut terekam cctv bingung cari jalan kabur,12,5.0,0.083333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,non-clickbait,selidiki kasus ular dibuang di asrama papua polisi terganjal akses masuk,11,5.6363636360000005,0.181818182,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,non-clickbait,kpk tanggapi dpr penegakan hukum tak boleh terikat komitmen politik,10,5.8,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,non-clickbait,kronologi barista tikam siswi smk bandung karena cinta ditolak,9,6.0,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,non-clickbait,pengacara sebut dakwaan kivlan zen dipaksakan,6,6.666666667,0.166666667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,non-clickbait,polisi belanda tembak mati istri dan putrinya lalu bunuh diri,10,5.2,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,non-clickbait,perampok bersebo tembak warga hingga tewas di sumsel,8,5.625,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,non-clickbait,tepis jadi penyebab tunggal kabut asap ri akan surati malaysia,10,5.3,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,non-clickbait,jokowi diminta mekarkan wilayah papua jk ada undang undangnya,9,5.8888888889999995,0.222222222,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,non-clickbait,respons jk kpk sebut sp bisa disalahgunakan,7,5.285714286,0.28571428600000004,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,clickbait,hampir seluas jabar ini tantangan sintang siapkan generasi emas,9,6.1111111110000005,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,clickbait,viral video diduga baku tembak di sleman ini kata polisi,10,4.7,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,non-clickbait,kadis pu dan pns kabupaten mandailing natal ditahan kejati sumut,10,5.5,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,non-clickbait,banding ditolak hak politik eks bupati katingan dicabut hakim,9,5.8888888889999995,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,non-clickbait,gadai sk hal yang wajar dprd surabaya tak banyak bank yang melirik,12,4.583333333,0.41666666700000005,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,non-clickbait,karyawan pabrik boneka keracunan polisi sita sayur nangka,8,6.25,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,non-clickbait,kecelakaan beruntun kendaraan di lenteng agung pemotor luka luka,9,6.222222222,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,non-clickbait,kpk bongkar mafia migas transaksi lintas negara tak mudah diungkap,10,5.7,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,non-clickbait,diawasi di hong kong aktivis joshua wong terbang ke berlin,10,4.9,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,non-clickbait,anggota dprd surabaya gadaikan sk sebagai jaminan untuk potong gaji,10,5.8,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,non-clickbait,ical jenguk bj habibie di rspad kita doakan yang terbaik,10,4.7,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,non-clickbait,orang dan korporasi jadi tersangka karhutla di sumatera kalimantan,9,6.444444444,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,non-clickbait,gubernur edy belum tahu uang miliaran milik pemprov hilang,9,5.555555556,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,clickbait,giliran alumni unnes serukan tolak revisi uu kpk,8,5.125,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,non-clickbait,fenomena gadai sk anggota dewan juga terjadi di dprd serang,10,5.0,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,non-clickbait,akademisi dan mahasiswa unair tolak revisi uu kpk,8,5.25,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,non-clickbait,pegawai kpk surati fraksi di dpr minta tak pilih capim yang lemahkan kpk,13,4.615384615,0.307692308,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,clickbait,waspada ada penipuan catut pertamina korbannya rugi puluhan juta,9,6.222222222,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,non-clickbait,ekoturisme pelajaran besar dari negara kecil,6,6.5,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,non-clickbait,refleksi tahun dpd ri oso kami ada untuk daerah,9,4.333333333,0.444444444,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,non-clickbait,mui riau pelaku karhutla orang tak taat beragama,8,5.125,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,non-clickbait,gadaikan sk anggota dprd jabar terima kredit hingga rp miliar,10,5.2,0.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,non-clickbait,penyelundupan benih lobster tujuan singapura digagalkan di makassar,8,7.5,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,non-clickbait,kecelakaan beruntun dan truk terbakar di cipularang orang luka,9,6.0,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,non-clickbait,banyak berita negatif hnw khawatirkan moral bangsa indonesia,8,6.625,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,non-clickbait,kpk harap jeratan eks dirut petral bisa buka kotak pandora mafia migas,12,4.916666667,0.083333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,non-clickbait,hamas tembak jatuh drone israel di jalur gaza,8,4.75,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,non-clickbait,jpu keberatan kivlan zen didampingi kuasa hukum dari militer,9,5.777777778,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,non-clickbait,jadi tersangka eks dirut petral diduga terima suap usd juta,10,5.0,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,non-clickbait,jaksa duit rp juta dari kivlan zen modal mata matai wiranto dan luhut,13,4.384615385,0.153846154,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,clickbait,jaksa beberkan senpi peluru tajam pembelian kivlan zen cs ini rinciannya,11,5.6363636360000005,0.090909091,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,non-clickbait,dishub minta polda data kebutuhan e tle di area perluasan ganjil genap,12,4.916666667,0.166666667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,non-clickbait,polisi olah tkp kecelakaan maut tewaskan orang di nganjuk,9,5.444444444,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,non-clickbait,uang miliaran rupiah milik pemprov sumut hilang polisi turun tangan,10,5.8,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,non-clickbait,menkum ham soal cabut paspor veronica koman ada ketentuannya,9,5.777777778,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,clickbait,sering quality time bersama keluarga ternyata ini manfaatnya,8,6.625,0.5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,clickbait,menteri jokowi profesional ini kandidatnya,5,7.6,0.2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,non-clickbait,lipi desak jokowi tolak revisi uu kpk yang lumpuhkan kinerja kpk,11,4.909090909,0.090909091,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,non-clickbait,kasus penyerangan ditutup pemotor naik trotoar tetap ditilang,8,6.75,0.375,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,non-clickbait,bareskrim tangkap pembobol yang rugikan bank bumn rp miliar,9,5.666666667,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,non-clickbait,datang ke pembekalan caleg terpilih demokrat sby beri arahan tertutup,10,6.0,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,non-clickbait,aktivis perempuan nilai ruu pks tersandera oleh ruu kuhp,9,5.333333333,0.111111111,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,non-clickbait,belum teridentifikasi korban kecelakaan cipularang diduga perempuan,7,8.714285713999999,0.14285714300000002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,non-clickbait,siswi smk bandung ditikam dekat sekolah karena tolak cinta pelaku,10,5.6,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,clickbait,sebut pemilihan capim kpk cacat yuridis ini saran samad ke dpr,11,4.727272727,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,non-clickbait,jika tak kunjung penuhi panggilan veronica koman bakal jadi dpo,10,5.4,0.4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,clickbait,pria misterius berjubah putih viral di sumut ingatkan tuhan murka,10,5.6,0.1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,non-clickbait,adik soal hoax habibie meninggal mbok jangan gitu isengnya,9,5.555555556,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,non-clickbait,jk bicara perlunya kpk punya sp contohkan kasus rj lino,10,4.6,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,non-clickbait,tidur siang kali seminggu kurangi kemungkinan serangan jantung,8,6.875,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,non-clickbait,polisi simpulkan bos sembako di cilegon tewas bunuh diri,9,5.333333333,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,non-clickbait,menengok pantai mustika banyuwangi,4,7.75,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,non-clickbait,asap pekat selimuti riau pemprov gelar salat minta hujan besok,10,5.3,0.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,non-clickbait,soal kontrak politik capim kpk fahri sebut agar taat undang undang,11,5.090909091,0.272727273,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,non-clickbait,caketum hipmi pengusaha ri harus punya jiwa nasionalisme yang kuat,10,5.7,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,non-clickbait,kpu solo ajukan dana rp m untuk pilwalkot,8,4.25,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,non-clickbait,utusan khusus presiden akan gelar munas tokoh antaragama,8,6.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,non-clickbait,panggil veronica koman polisi tunggu hingga dua pekan ke depan,10,5.3,0.4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,non-clickbait,kpk tetapkan eks pejabat pertamina energy tersangka mafia migas,9,6.1111111110000005,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,non-clickbait,dipeluk istri sebelum jalani sidang kivlan zen menangis,8,6.0,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,clickbait,video porno di sumedang disebar pemeran pria apa motifnya,9,5.444444444,0.222222222,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,non-clickbait,icw jangan pertaruhkan kpk pak jokowi,6,5.333333333,0.333333333,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,clickbait,terungkap video porno di sumedang diperankan pasangan selingkuh,8,7.0,0.125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,non-clickbait,bocah di bekasi disebut tewas karena bully kpad imbau keluarga melapor,11,5.454545455,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,non-clickbait,jk soal revisi uu kpk penuntutan tak perlu koordinasi dengan jaksa agung,12,5.083333333,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,non-clickbait,komisi iii dpr pastikan tampung semua masukan soal capim kpk,10,5.1,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,non-clickbait,tokoh papua yang diundang jokowi eks timses istana kebetulan saja,10,5.6,0.3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,non-clickbait,wagub jabar minta pekerja di lingkungan pemprov jabar daftar bpjs tk,11,5.272727273,0.181818182,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,non-clickbait,anak dan cucu berkumpul temani bj habibie di rspad gatot soebroto,11,5.0,0.181818182,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,non-clickbait,gara gara puntung rokok hektare lahan di sulteng terbakar,9,5.444444444,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,non-clickbait,topan faxai hantam jepang penumpang telantar di bandara narita,9,6.0,0.111111111,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,non-clickbait,gajah mengamuk ketika ikut festival agama di sri lanka terluka,10,5.3,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,non-clickbait,waduk pacal di bojonegoro surut lahan pertanian di kecamatan kekeringan,10,6.2,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,non-clickbait,komisi iii dpr gelar rdpu tampung masukan soal seleksi capim kpk,11,4.909090909,0.090909091,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,clickbait,detik detik mencekam perampokan di rumah makan gratis untuk duafa di bogor,12,5.25,0.25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,non-clickbait,hut ke brigif raider ziarah ke makam bupati galuh ciamis,10,4.7,0.2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,non-clickbait,pesan kpk ke jokowi pembangunan tak tercapai jika masih digerogoti korupsi,11,5.818181817999999,0.363636364,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,non-clickbait,perguruan tinggi muhammadiyah se indonesia tolak revisi uu kpk,9,6.0,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,non-clickbait,pelanggar ditilang di hari perdana perluasan ganjil genap kemarin,9,6.333333333,0.222222222,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,non-clickbait,dirawat intensif di rspad bj habibie salat sambil berbaring,9,5.666666667,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,non-clickbait,bulan lagi polrestabes surabaya punya tempat parkir bertingkat,8,6.875,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,non-clickbait,sepekan dilantik anggota dprd jabar gadai sk ke bank,9,4.8888888889999995,0.111111111,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,non-clickbait,poyuono jelas pemerintah dpr revisi uu kpk agar mudah rampok uang negara,12,5.083333333,0.166666667,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,non-clickbait,ratusan mahasiswa surabaya dukung revisi uu kpk,7,5.857142857,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,non-clickbait,abraham samad jokowi harus minta dpr setop pembahasan revisi uu kpk,11,5.181818182,0.181818182,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,non-clickbait,satgas karhutla investigasi penyebab kebakaran kebun tebu ptpn vii ogan ilir,11,6.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,non-clickbait,fenomena anggota dewan gadaikan sk di dprd surabaya juga ada,10,5.1,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,non-clickbait,anies anggap perbaikan udara jakarta lewat ganjil genap tak bisa instan,11,5.545454545,0.272727273,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,non-clickbait,tepis kabar bully polisi sebut bocah meninggal di bekasi akibat tetanus,11,5.545454545,0.181818182,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,non-clickbait,tokoh papua bicara ke jokowi soal persaingan penduduk dan lingkungan,10,5.9,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,non-clickbait,kritik revisi uu kpk rektor ipb pemuka agama tolak pelemahan kpk,11,4.909090909,0.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,non-clickbait,menggalang pembiayaan ibu kota baru,5,6.2,0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,non-clickbait,pasukan kostrad dikerahkan untuk tangkap pelaku karhutla di riau,9,6.222222222,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,non-clickbait,cerita warga di jepara mandi sehari sekali akibat kekeringan,9,5.777777778,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,clickbait,kendaraan listrik bebas dari aturan ganjil genap ini alasannya,9,6.0,0.222222222,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,non-clickbait,satu satunya korban selamat kecelakaan maut di nganjuk diciduk kasus narkoba,11,6.0,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
